currentdbname,victims,resources,"lock_modes",count,latest,earliest,"all_query"
master,process2d063c2a8c8,"KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (0b87f2f2184b) PAGE: 5:1:5218717 ","IX S U",15,"2025/11/26 09:33:29.680","2025/11/26 09:33:29.680","WHERE LOWER(locked_by) = LOWER(@user_id) AND task_id IN ("
master,"process29b0535f468 process38119248ca8 process4002c7f68c8","KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a8a96a7be6df) KEY: 5:72057594042449920 (7a6d6e4bb7c8) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218716  PAGE: 5:1:5218717 ","IX S U",14,"2025/11/26 09:33:21.870","2025/11/26 09:33:18.410","frame procname=adhoc line=1 stmtend=704 sqlhandle=0x020000006c459e211ff51e5e38fd496702e487c4d9e45df10000000000000000000000000000000000000000"
master,"process29b0535f468 process2ed6b769848 process375e2d3aca8 process4002c7f68c8","KEY: 5:72057594042449920 (7a6d6e4bb7c8) KEY: 5:72057594042449920 (8281f77724ad) KEY: 5:72057594042449920 (832105dc52c4) PAGE: 5:1:5218716  PAGE: 5:1:5218717 ","IX S U",13,"2025/11/26 09:33:25.220","2025/11/26 09:33:18.410","frame procname=K2_Custom.dbo.insert_task line=68 stmtstart=4394 stmtend=7262 sqlhandle=0x03000500473a0659d3b6e70016b3000001000000000000000000000000000000000000000000000000000000"
"K2_Custom",process375e2d3a8c8,"KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",13,"2025/11/26 09:33:28.870","2025/11/26 09:33:28.870","keylock hobtid=72057594042449920 dbid=5 objectname=K2_Custom.dbo.task_log indexname=PK_task_log id=lock2d995817500 mode=X associatedObjectId=72057594042449920"
master,"process29b0535f468 process4002c7f68c8","KEY: 5:72057594042449920 (7a6d6e4bb7c8) PAGE: 5:1:5218716 ","IX S",12,"2025/11/26 09:33:18.410","2025/11/26 09:33:18.410","SELECT DISTINCT TAL.task_id,created_by,locked_by,full_assignment_roles_name,name FROM [K2_Custom].[dbo].[task_assignment_log] TAL INNER JOIN [K2_Custom].[dbo].[task_log] TL ON TAL.task_id = TL.task_id where name = 'Event Template - Create/Update' and description like '%TR3IN1AutoCupT11126D%' AND is_completed = 0 and is_expired = 0 AND is_cancelled = 0    "
"K2_Custom",process29afd8d7088,"KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (8f20a68aec2e) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a0a3dc748687) KEY: 5:72057594042449920 (945419c18964) PAGE: 5:1:1927470 ","IX S U",11,"2025/11/27 09:41:48.970","2025/11/27 09:41:48.970","SET [is_locked] = 0, locked_time = NULL, locked_by = NULL"
master,"process2d063c2a8c8 process3940075eca8","KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (0b87f2f2184b) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218717 ","IX S U",11,"2025/11/26 09:33:29.680","2025/11/26 09:33:22.680","UPDATE [dbo].[task_log]"
"K2_Custom",process29afd8d7088,"KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (8f20a68aec2e) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a0a3dc748687) KEY: 5:72057594042449920 (945419c18964) PAGE: 5:1:1927470 ","IX S U",11,"2025/11/27 09:41:48.970","2025/11/27 09:41:48.970","[is_inprogress] = ISNULL(@inProgress, [is_inprogress]),"
"K2_Custom",process3a64cb0a108,"KEY: 5:72057594042187776 (3452ff0c98df) KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (6b61134d2e13) KEY: 5:72057594042187776 (8f20a68aec2e) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a0a3dc748687) KEY: 5:72057594042187776 (f77f90fa9819) KEY: 5:72057594042187776 (fe44ed2b1365)",U,10,"2025/11/28 09:06:40.940","2025/11/28 09:06:40.940","[INFO] Database ID: [5]. Seg: { 0x00003ccb021f78d0: 0x0001}; Ckpt Id: 37406."
master,"process3298c639088 process348c949b088 process382505d3468 process38e73eb7088","KEY: 5:72057594042449920 (7a6d6e4bb7c8) KEY: 5:72057594042449920 (832105dc52c4) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218716  PAGE: 5:1:5218717 ","IX S U",10,"2025/11/26 09:33:25.220","2025/11/26 09:33:18.620","frame procname=adhoc line=1 stmtend=704 sqlhandle=0x02000000bf5af63489fb091626e1526803618a3368b84cd10000000000000000000000000000000000000000"
